time,commercial_kw,pv_ac_kw,pv_curtail_kw,chargers_requested_kw,chargers_controlled_kw,bess_charge_kw,bess_discharge_kw,soc_kwh,grid_draw_kw,violation_kw
2025-11-04 04:30:00,77.32409567112201,0.0,0.0,0.0,0.0,0.0,0.0,-7.879487645865082e-08,77.32409567112201,1.0867644782573881e-06
2025-11-04 04:45:00,75.85061517558623,0.0,0.0,0.0,0.0,0.0,0.0,-6.828866511352462e-08,75.85061517558623,1.0363092653127915e-06
2025-11-04 05:00:00,84.55163485505413,0.0,0.0,0.0,0.0,0.0,1.591975214235216e-07,-4.251537851758478e-08,84.5516346958566,1.2462756180063192e-06
2025-11-04 05:15:00,79.58857051037803,0.0,0.0,0.0,0.0,0.0,4.779608036817067e-08,-1.2148355872664605e-07,79.58857046258196,1.0991373651712816e-06
2025-11-04 05:30:00,80.64713080825206,0.0,0.0,0.0,0.0,0.0,1.138752760087415e-07,-1.4613651920843952e-07,80.64713069437678,1.1282828373933021e-06
2025-11-04 05:45:00,76.44862138433278,0.0,0.0,0.0,0.0,0.0,4.276386081332028e-08,-2.0299471272121559e-07,76.44862134156892,1.0009833168140773e-06
2025-11-04 06:00:00,79.51010221306531,0.0,0.0,0.0,0.0,0.0,1.3856109634210115e-07,-2.251744143942602e-07,79.51010207450422,1.0397451289105007e-06
2025-11-04 06:15:00,82.09137765733506,0.0,0.0,0.0,0.0,0.0,2.397445720065402e-07,-2.940423268264484e-07,82.0913774175905,1.065741143250323e-06
2025-11-04 06:30:00,79.17816367726395,0.0,0.0,0.0,0.0,0.0,1.8017351927213497e-07,-4.122203353030637e-07,79.17816349709044,8.948136188769705e-07
2025-11-04 06:45:00,84.95596032719835,0.0,0.0,0.0,0.0,0.0,3.528512622999884e-07,-5.01333741247951e-07,84.9559599743471,9.395070500606515e-07
2025-11-04 07:00:00,83.61747590388714,5.698660557847624,0.0,0.0,0.0,0.0,1.8029513054213482e-07,-6.745987436484592e-07,77.91881516574438,5.825517933208039e-07
2025-11-04 07:15:00,86.58583154680825,20.805132999692926,0.0,0.0,0.0,0.0,0.0,-7.637038733311961e-07,65.78069854711532,1.7232178320883238e-07
2025-11-04 07:30:00,88.18574164579879,35.91160544153822,0.0,0.0,0.0,1.8247433045287546e-07,0.0,-7.548200773318582e-07,52.27413638673489,0.0
2025-11-04 07:45:00,98.5703722595324,51.01807788338352,0.0,0.0,0.0,7.348977336534762e-07,0.0,-6.048566383800888e-07,47.552295111046625,0.0
